Unnamed: 0,Address,Location,Rent,Bed,Bath,Size,Description,Commute,Crime,Income,URL
0,"Produce & Waterfront, Oakland, CA",321 Castro St,"$2,400/mo",3bd,1ba,900 sqft,"321 Castro St, Oakland, CA is a 3 bedroom, 1 bathroom, 900 sqft single-family home. 321 Castro St is located in Produce & Waterfront, Oakland. 321 Castro St was listed for rent for $2,400/month on Mar 12, 2020. This property is pet friendly.",Commute60% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$86,400 ",https://www.trulia.com/p/ca/oakland/321-castro-st-oakland-ca-94607--2083884328
1,"Prescott, Oakland, CA",1687 8th St,"$1,700/mo",1bd,1ba,450 sqft,"1687 8th St, Oakland, CA is a 1 bedroom, 1 bathroom, 450 sqft single-family home built in 2006. 1687 8th St is located in Prescott, Oakland. 1687 8th St was listed for rent for $1,700/month on Mar 9, 2020.",Commute60% of residents commute by car.,CrimeHigh crime relative to the rest of Alameda county.,"$61,200 ",https://www.trulia.com/p/ca/oakland/1687-8th-st-oakland-ca-94607--1030279211
2,"Upper Laurel, Oakland, CA",Address Not Disclosed,"$1,800/mo",2bd,1ba,700 sqft,"This home in Oakland, CA is a 2 bedroom, 1 bathroom, 700 sqft single-family home built in 1920. This home is located in Upper Laurel, Oakland. This property was listed for rent for $1,800/month on Mar 12, 2020.",Commute85% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$64,800 ",https://www.trulia.com/p/ca/oakland/address-not-disclosed-oakland-ca-94619--2083933812
3,"Clinton, Oakland, CA",2243 12th Ave,"$2,400/mo",2bd,1ba,"1,017 sqft","2243 12th Ave, Oakland, CA is a 2 bedroom, 1 bathroom, 1,991 sqft single-family home built in 1890. 2243 12th Ave is located in Clinton, Oakland. 2243 12th Ave was listed for rent for $2,400/month on Mar 4, 2020. This property is pet friendly.",Commute70% of residents commute by car.,CrimeModerate crime relative to the rest of Alameda county.,"$86,400 ",https://www.trulia.com/p/ca/oakland/2243-12th-ave-oakland-ca-94606--1002180113
4,"Clawson, Oakland, CA",1064 30th St,"$3,199/mo",3bd,2ba,"1,100 sqft","1064 30th St, Oakland, CA is a 3 bedroom, 2 bathroom, 1,017 sqft single-family home built in 1897. 1064 30th St is located in Clawson, Oakland. 1064 30th St was listed for rent for $3,199/month on Mar 11, 2020. This property is pet friendly.",Commute67% of residents commute by car.,CrimeHigh crime relative to the rest of Alameda county.,"$115,164 ",https://www.trulia.com/p/ca/oakland/1064-30th-st-oakland-ca-94608--1054362650
5,"Hoover/Foster, Oakland, CA",692 31st St,"$2,950/mo",2bd,1ba,"1,000 sqft","692 31st St, Oakland, CA is a 2 bedroom, 1 bathroom, 1,100 sqft single-family home built in 1904. 692 31st St is located in Hoover/Foster, Oakland. 692 31st St was listed for rent for $2,950/month on Mar 3, 2020.",Commute58% of residents commute by car.,CrimeHigh crime relative to the rest of Alameda county.,"$106,200 ",https://www.trulia.com/p/ca/oakland/692-31st-st-oakland-ca-94609--2083901682
6,"Tuxedo, Oakland, CA",2215 E 29th St,"$2,950/mo",3bd,1ba,"1,300 sqft","2215 E 29th St, Oakland, CA is a 3 bedroom, 1 bathroom, 1,000 sqft single-family home built in 1919. 2215 E 29th St is located in Tuxedo, Oakland. 2215 E 29th St was listed for rent for $2,950/month on Mar 6, 2020.",Commute70% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$106,200 ",https://www.trulia.com/p/ca/oakland/2215-e-29th-st-oakland-ca-94606--2117151026
7,"Montclair, Oakland, CA",2185 Trafalgar Pl,"$3,975/mo",3bd,2ba,"1,000 sqft","2185 Trafalgar Pl, Oakland, CA is a 3 bedroom, 2 bathroom, 1,300 sqft single-family home built in 1972. 2185 Trafalgar Pl is located in Montclair, Oakland. 2185 Trafalgar Pl was listed for rent for $3,975/month on Mar 7, 2020. This property is pet friendly.",Commute79% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$143,100 ",https://www.trulia.com/p/ca/oakland/2185-trafalgar-pl-oakland-ca-94611--2083912517
8,"Santa Fe, Oakland, CA",843 60th St,"$3,200/mo",3bd,1ba,950 sqft,"843 60th St, Oakland, CA is a 3 bedroom, 1 bathroom, 1,000 sqft single-family home built in 1907. 843 60th St is located in Santa Fe, Oakland. 843 60th St was listed for rent for $3,200/month on Mar 3, 2020. This property is pet friendly.",Commute67% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$115,200 ",https://www.trulia.com/p/ca/oakland/843-60th-st-oakland-ca-94608--2083895890
9,"Pill Hill, Oakland, CA",32nd St,"$3,600/mo",4bd,2.5ba,912 sqft,"32nd St, Oakland, CA is a 4 bedroom, 2.5 bathroom single-family home. 32nd St is located in Pill Hill, Oakland. 32nd St was listed for rent for $3,600/month on Mar 5, 2020. This property is pet friendly.",Commute58% of residents commute by car.,CrimeModerate crime relative to the rest of Alameda county.,"$129,600 ",https://www.trulia.com/p/ca/oakland/0-32nd-st-oakland-ca-94609--2449986270
10,"Allendale, Oakland, CA",Address Not Disclosed,"$2,200/mo",2bd,1ba,"1,412 sqft","This home in Oakland, CA is a 2 bedroom, 1 bathroom, 950 sqft single-family home. This home is located in Allendale, Oakland. This property was listed for rent for $2,200/month on Mar 10, 2020.",Commute85% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$79,200 ",https://www.trulia.com/p/ca/oakland/address-not-disclosed-oakland-ca-94619--2206087443
11,"Jefferson, Oakland, CA",Address Not Disclosed,"$2,799/mo",2bd,1ba,750 sqft,"This home in Oakland, CA is a 2 bedroom, 1 bathroom, 912 sqft single-family home built in 1914. This home is located in Jefferson, Oakland. This property was listed for rent for $2,799/month on Mar 11, 2020.",Commute74% of residents commute by car.,CrimeModerate crime relative to the rest of Alameda county.,"$100,764 ",https://www.trulia.com/p/ca/oakland/address-not-disclosed-oakland-ca-94601--2083846402
12,"Longfellow, Oakland, CA",Address Not Disclosed,"$3,400/mo",3bd,2.5ba,"1,250 sqft","This home in Oakland, CA is a 3 bedroom, 2.5 bathroom, 1,412 sqft single-family home built in 2006. This home is located in Longfellow, Oakland. This property was listed for rent for $3,400/month on Mar 12, 2020.",Commute67% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$122,400 ",https://www.trulia.com/p/ca/oakland/address-not-disclosed-oakland-ca-94608--1002898914
13,"Shafter, Oakland, CA",421 Avon St #B,"$2,850/mo",2bd,1ba,"1,500 sqft","421 Avon St #B, Oakland, CA is a 2 bedroom, 1 bathroom, 750 sqft single-family home. 421 Avon St #B is located in Shafter, Oakland. 421 Avon St #B was listed for rent for $2,850/month on Mar 11, 2020.",Commute64% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$102,600 ",https://www.trulia.com/p/ca/oakland/421-avon-st-b-oakland-ca-94618--2360643360
14,"Forestland, Oakland, CA",7028 Homewood Dr,"$3,800/mo",2bd,1ba,"1,050 sqft","7028 Homewood Dr, Oakland, CA is a 2 bedroom, 1 bathroom, 792 sqft single-family home built in 1942. 7028 Homewood Dr is located in Forestland, Oakland. 7028 Homewood Dr was listed for rent for $3,800/month on Mar 11, 2020.",Commute79% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$136,800 ",https://www.trulia.com/p/ca/oakland/7028-homewood-dr-oakland-ca-94611--2083920625
15,"Patten, Oakland, CA",2834 Atwell Ave,"$3,000/mo",3bd,2ba,"1,600 sqft","2834 Atwell Ave, Oakland, CA is a 3 bedroom, 2 bathroom, 1,250 sqft single-family home. 2834 Atwell Ave is located in Patten, Oakland. 2834 Atwell Ave was listed for rent for $3,000/month on Mar 12, 2020.",Commute74% of residents commute by car.,CrimeHigh crime relative to the rest of Alameda county.,"$108,000 ",https://www.trulia.com/p/ca/oakland/2834-atwell-ave-oakland-ca-94601--2440524012
16,"Seminary, Oakland, CA",6000 Holway St,"$2,950/mo",2bd,2ba,"1,550 sqft","6000 Holway St, Oakland, CA is a 2 bedroom, 2 bathroom, 1,187 sqft single-family home built in 1923. 6000 Holway St is located in Seminary, Oakland. 6000 Holway St was listed for rent for $2,950/month on Mar 7, 2020.",Commute80% of residents commute by car.,CrimeModerate crime relative to the rest of Alameda county.,"$106,200 ",https://www.trulia.com/p/ca/oakland/6000-holway-st-oakland-ca-94621--1029878933
17,"Forestland, Oakland, CA",Address Not Disclosed,"$4,250/mo",2bd,2ba,839 sqft,"This home in Oakland, CA is a 2 bedroom, 2 bathroom, 1,500 sqft single-family home built in 1984. This home is located in Forestland, Oakland. This property was listed for rent for $4,250/month on Mar 4, 2020. This property is pet friendly.",Commute79% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$153,000 ",https://www.trulia.com/p/ca/oakland/address-not-disclosed-oakland-ca-94611--2083921146
18,"Hegenberger, Oakland, CA",1921 73rd Ave,"$3,000/mo",3bd,1.5ba,700 sqft,"1921 73rd Ave, Oakland, CA is a 3 bedroom, 1.5 bathroom, 1,050 sqft single-family home. 1921 73rd Ave is located in Hegenberger, Oakland. 1921 73rd Ave was listed for rent for $3,000/month on Mar 5, 2020.",Commute80% of residents commute by car.,CrimeHighest crime relative to the rest of Alameda county.,"$108,000 ",https://www.trulia.com/p/ca/oakland/1921-73rd-ave-oakland-ca-94621--1006286199
19,"Crestmont, Oakland, CA",Address Not Disclosed,"$3,900/mo",3bd,2ba,"1,292 sqft","This home in Oakland, CA is a 3 bedroom, 2 bathroom, 1,600 sqft single-family home built in 1956. This home is located in Crestmont, Oakland. This property was listed for rent for $3,900/month on Mar 12, 2020.",Commute85% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$140,400 ",https://www.trulia.com/p/ca/oakland/address-not-disclosed-oakland-ca-94619--2083931217
